reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,empgTotalFunding
2014 BSIR (December 15),Indiana,Sullivan County Emergency Management,Establish / enhance sustainable Homeland Security Planning Program,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8484.83
2014 BSIR (December 15),Indiana,Rush County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Vanderburg County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8478
2014 BSIR (December 15),Indiana,Starke County Emergency Management,Develop/enhance interoperable communications systems,2014-12-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Warrick County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Tipton County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Whitley County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Wabash County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485
2014 BSIR (December 15),Indiana,Wells County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Kentucky,Kentucky Office of Homeland Security,Enhance capabilities to recover from all-hazards events,2013-10-01T00:00:00+00:00,2015-12-01T00:00:00+00:00,5508376
2014 BSIR (December 15),Kansas,The Adjutant Generals Department,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,1496054
2014 BSIR (December 15),Louisiana,Ascension Parish HS&EP,Adopt and implement NIMS to include integration of core concepts into plans and procedures,2014-11-01T00:00:00+00:00,2014-11-01T00:00:00+00:00,1500
2014 BSIR (December 15),Louisiana,Allen Parish HS & EP,"Develop/enhance plans, procedures, and protocols",2015-01-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,28072
2014 BSIR (December 15),Louisiana,Beauregard Parish HS&EP,Develop/enhance interoperable communications systems,2014-09-01T00:00:00+00:00,2015-01-01T00:00:00+00:00,8800
2014 BSIR (December 15),Louisiana,Assumption Parish HS & EP,Develop / enhance homeland security / emergency management organization and structure,2014-06-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,27792
2014 BSIR (December 15),Louisiana,Caddo Parish Sheriff's Department,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-04-01T00:00:00+00:00,55398
2014 BSIR (December 15),Louisiana,Bienville Parish HS&EP,Administer and manage the Homeland Security Grant Program,2014-06-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,26711
2014 BSIR (December 15),Louisiana,Catahoula Parish HS & EP,"Develop/enhance plans, procedures, and protocols",2014-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,7509.44
2014 BSIR (December 15),Louisiana,Cameron Parish HS&EP,"Develop/enhance plans, procedures, and protocols",2014-11-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,25815
2014 BSIR (December 15),Louisiana,Concordia Parish HS&EP,"Develop/enhance plans, procedures, and protocols",2014-11-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,16521.09
2014 BSIR (December 15),Louisiana,Concordia Parish HS&EP,Establish / enhance sustainable Homeland Security Planning Program,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,3156.91
2014 BSIR (December 15),Louisiana,East Carroll Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,25925
2014 BSIR (December 15),Louisiana,Evangeline Parish HS&EP,"Develop/enhance plans, procedures, and protocols",2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,29051.99
2014 BSIR (December 15),Louisiana,Iberia Parish HS&EP,Establish/enhance emergency operations center,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,33732
2014 BSIR (December 15),Louisiana,Jefferson Davis HS & EP,Administer and manage the Homeland Security Grant Program,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,20913.32
2014 BSIR (December 15),Indiana,Spencer County Emergency Management,Establish / enhance sustainable Homeland Security Planning Program,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Louisiana,Jefferson Parish HS & EP,Develop/enhance interoperable communications systems,2014-11-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,1021.7
2014 BSIR (December 15),Indiana,Switzerland County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Ripley County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.26
2014 BSIR (December 15),Indiana,Scott County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Vermillion County Emergency Management,Enhance capabilities to respond to all-hazards events,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Steuben County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Washingon County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Union County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,7985
2014 BSIR (December 15),Iowa,Iowa Homeland Security and Emergency Management,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2016-03-01T00:00:00+00:00,2447786
2014 BSIR (December 15),Indiana,Warren County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Louisiana,Acadia Parish HS & EP,"Develop/enhance plans, procedures, and protocols",2015-01-01T00:00:00+00:00,2015-12-01T00:00:00+00:00,13677
2014 BSIR (December 15),Indiana,White County Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Louisiana,Ascension Parish HS&EP,Assess vulnerability of and/or harden/protect critical infrastructure and key assets,2015-01-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,17015.51
2014 BSIR (December 15),Kansas,The Adjutant Generals Department,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,3027423
2014 BSIR (December 15),Louisiana,Ascension Parish HS&EP,Administer and manage the Homeland Security Grant Program,2014-01-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,7950.16
2014 BSIR (December 15),Louisiana,Beauregard Parish HS&EP,Enhance capabilities to respond to all-hazards events,2014-09-01T00:00:00+00:00,2015-01-01T00:00:00+00:00,5608
2014 BSIR (December 15),Louisiana,Calcasieu Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2014-06-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,50483
2014 BSIR (December 15),Louisiana,Avoyelles Parish HS & EP,Administer and manage the Homeland Security Grant Program,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,30016
2014 BSIR (December 15),Louisiana,Claiborne Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-09-01T00:00:00+00:00,27050
2014 BSIR (December 15),Louisiana,Bossier Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2014-08-01T00:00:00+00:00,2015-08-01T00:00:00+00:00,38947
2014 BSIR (December 15),Louisiana,Catahoula Parish HS & EP,Develop / enhance homeland security / emergency management organization and structure,2014-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,18731.56
2014 BSIR (December 15),Louisiana,DeSoto Parish Sheriff's Department,Develop / enhance homeland security / emergency management organization and structure,2013-06-01T00:00:00+00:00,2015-04-01T00:00:00+00:00,28178
2014 BSIR (December 15),Louisiana,Concordia Parish HS&EP,Enhance capabilities to respond to all-hazards events,2014-11-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,4560.44
2014 BSIR (December 15),Louisiana,Franklin Parish Sheriff's Department,Administer and manage the Homeland Security Grant Program,2014-07-01T00:00:00+00:00,2015-02-01T00:00:00+00:00,27476
2014 BSIR (December 15),Louisiana,East Feliciana Parish HS & EP,"Manage, update and/or implement the State Homeland Security Strategy",2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,27414.98
2014 BSIR (December 15),Louisiana,Iberville Parish HS & EP,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,12978
2014 BSIR (December 15),Louisiana,Iberville Parish HS & EP,Develop / enhance homeland security / emergency management organization and structure,2014-11-01T00:00:00+00:00,2015-10-01T00:00:00+00:00,9035.25
2014 BSIR (December 15),Louisiana,Jefferson Davis HS & EP,Establish/enhance emergency operations center,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,2003.76
2014 BSIR (December 15),Louisiana,Jefferson Davis HS & EP,Adopt and implement NIMS to include integration of core concepts into plans and procedures,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,1971
2014 BSIR (December 15),Louisiana,Iberville Parish HS & EP,Develop / enhance homeland security / emergency management organization and structure,2015-04-01T00:00:00+00:00,2015-04-01T00:00:00+00:00,942.92
2014 BSIR (December 15),Louisiana,Jefferson Parish HS & EP,Enhance capabilities to respond to all-hazards events,2014-11-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,28547
2014 BSIR (December 15),Louisiana,LaSalle Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2014-09-01T00:00:00+00:00,2016-02-01T00:00:00+00:00,2241.53
2014 BSIR (December 15),Indiana,Putnam County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,St. Joseph County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Tippecanoe County Emergency Management,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8436.6
2014 BSIR (December 15),Indiana,Vigo County Emergency Management,Enhance capabilities to respond to all-hazards events,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Indiana,Wayne County Emergency Mangement,Develop/enhance interoperable communications systems,2014-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8485.29
2014 BSIR (December 15),Iowa,Iowa Homeland Security and Emergency Management,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-09-01T00:00:00+00:00,2204571
2014 BSIR (December 15),Louisiana,Acadia Parish HS & EP,Enhance capabilities to respond to all-hazards events,2014-10-01T00:00:00+00:00,2015-10-01T00:00:00+00:00,18688
2014 BSIR (December 15),Louisiana,Ascension Parish HS&EP,"Develop/enhance plans, procedures, and protocols",2014-01-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,12984
2014 BSIR (December 15),Louisiana,Beauregard Parish HS&EP,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-01-01T00:00:00+00:00,14595.04
2014 BSIR (December 15),Louisiana,Caldwell Parish HS&EP,Administer and manage the Homeland Security Grant Program,2014-09-01T00:00:00+00:00,2016-02-01T00:00:00+00:00,26208
2014 BSIR (December 15),Louisiana,Concordia Parish HS&EP,Administer and manage the Homeland Security Grant Program,2014-11-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,876.47
2014 BSIR (December 15),Louisiana,East Baton Rouge Parish HS & EP,Administer and manage the Homeland Security Grant Program,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,77479
2014 BSIR (December 15),Louisiana,Grant Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,26979.72
2014 BSIR (December 15),Louisiana,Jackson Parish HS & EP,Administer and manage the Homeland Security Grant Program,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,26940
2014 BSIR (December 15),Louisiana,Lafayette Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,51417
2014 BSIR (December 15),Louisiana,Livingston Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2014-04-01T00:00:00+00:00,2014-09-01T00:00:00+00:00,41097.33
2014 BSIR (December 15),Louisiana,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,Adopt and implement NIMS to include integration of core concepts into plans and procedures,2015-02-01T00:00:00+00:00,2015-07-01T00:00:00+00:00,4770.96
2014 BSIR (December 15),Louisiana,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,Establish/enhance emergency operations center,2013-10-01T00:00:00+00:00,2016-03-01T00:00:00+00:00,3025.56
2014 BSIR (December 15),Louisiana,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,Establish/enhance sustainable homeland security training program,2014-04-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,28957.7
2014 BSIR (December 15),Louisiana,North Delta Regional Planning District,Administer and manage the Homeland Security Grant Program,2015-03-01T00:00:00+00:00,2015-07-01T00:00:00+00:00,400
2014 BSIR (December 15),Louisiana,Rapides HS & EP,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,36552.08
2014 BSIR (December 15),Louisiana,Richland Parish HS & EP,Enhance capabilities to respond to all-hazards events,2015-03-01T00:00:00+00:00,2015-04-01T00:00:00+00:00,298.23
2014 BSIR (December 15),Louisiana,St. James Parish,Enhance capabilities to recover from all-hazards events,2014-11-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,26921.8
2014 BSIR (December 15),Louisiana,St. Tammany Parish HS&EP,Establish/enhance emergency operations center,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,52867
2014 BSIR (December 15),Louisiana,Vermilion Parish HS&EP,Establish/enhance emergency operations center,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,31914
2014 BSIR (December 15),Louisiana,Vernon Parish HS&EP,Establish/enhance emergency operations center,2014-11-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,730.93
2014 BSIR (December 15),Louisiana,West Baton Rouge Parish HS & EP,"Develop/enhance plans, procedures, and protocols",2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,7000
2014 BSIR (December 15),Maryland,Allegany County Emergency Management Agency,Develop/enhance interoperable communications systems,2014-09-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,83588
2014 BSIR (December 15),Maryland,Anne Arundel County Emergency Management Bureau,Develop / enhance homeland security / emergency management organization and structure,2014-09-01T00:00:00+00:00,2015-07-01T00:00:00+00:00,80736
2014 BSIR (December 15),Maryland,"Baltimore City Police Department, Grants Section",Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,235891
2014 BSIR (December 15),Maryland,Cecil County Department of Emergency Services,Enhance capabilities to recover from all-hazards events,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,1000
2014 BSIR (December 15),Maryland,Frederick County Civil Defense & Disaster Preparedness,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2013-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,28431.12
2014 BSIR (December 15),Maryland,Howard County Office of Emergency  Management,Enhance capabilities to respond to all-hazards events,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,1873.26
2014 BSIR (December 15),Maryland,Ocean City Office of Emergency Management,Develop / enhance homeland security / emergency management organization and structure,2015-02-01T00:00:00+00:00,2015-12-01T00:00:00+00:00,83349.46
2014 BSIR (December 15),Maryland,Queen Anne''s County Department of Emergency Services,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,38427.32
2014 BSIR (December 15),Maryland,Somerset County Department of Emergency Services,Develop / enhance homeland security / emergency management organization and structure,2014-09-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,65000
2014 BSIR (December 15),Maryland,Washington County Emergency Management and Civil Defense,Enhance capabilities to recover from all-hazards events,2014-09-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,103772
2014 BSIR (December 15),Massachusetts,Massachusetts Emergency Management Agency,Enhance capabilities to respond to all-hazards events,2015-02-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,50000
2014 BSIR (December 15),Michigan,Alpena County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,11604.41
2014 BSIR (December 15),Michigan,Bay County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,21445.24
2014 BSIR (December 15),Michigan,Calhoun County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,32559.34
2014 BSIR (December 15),Michigan,City of Battle Creek,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,43864.44
2014 BSIR (December 15),Michigan,City of Livonia,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,58923.07
2014 BSIR (December 15),Michigan,Clare County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,10680.32
2014 BSIR (December 15),Michigan,Delta Township,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,32818.72
2014 BSIR (December 15),Michigan,Gogebic County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,11284.35
2014 BSIR (December 15),Michigan,Huron County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,16733.47
2014 BSIR (December 15),Michigan,Isabella County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,8856.97
2014 BSIR (December 15),Michigan,Keweenaw County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,4679.36
2014 BSIR (December 15),Michigan,Livingston County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,27579.51
2014 BSIR (December 15),Michigan,Marquette County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,70098.43
2014 BSIR (December 15),Michigan,Midland County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,43642.79
2014 BSIR (December 15),Michigan,Newaygo County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,32979.97
2014 BSIR (December 15),Michigan,Osceola County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,23676.21
2014 BSIR (December 15),Michigan,Roscommon County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,8833.66
2014 BSIR (December 15),Michigan,St. Clair County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,44143.58
2014 BSIR (December 15),Michigan,Washtenaw County,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2014-10-01T00:00:00+00:00,65685.04
2014 BSIR (December 15),Minnesota,Association of Minnesota Emergency Managers,Develop / enhance homeland security / emergency management organization and structure,2015-07-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,48000
2014 BSIR (December 15),Minnesota,Blue Earth County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,37834
2014 BSIR (December 15),Minnesota,Chippewa County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,17899.54
2014 BSIR (December 15),Minnesota,City of Saint Paul,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,30000
2014 BSIR (December 15),Minnesota,Crow Wing County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,43973
2014 BSIR (December 15),Minnesota,Faribault County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,14133
2014 BSIR (December 15),Minnesota,Hennepin County   ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,501597.51
2014 BSIR (December 15),Minnesota,Kanabec County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,17514
2014 BSIR (December 15),Minnesota,Lake County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,17956
2014 BSIR (December 15),Minnesota,Mahnomen County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,11443.25
2014 BSIR (December 15),Minnesota,Mille Lacs County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,20697
2014 BSIR (December 15),Minnesota,Murray County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,18003
2014 BSIR (December 15),Minnesota,Otter Tail County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,17746.45
2014 BSIR (December 15),Minnesota,Pope County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,17650
2014 BSIR (December 15),Minnesota,Rice County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,34910
2014 BSIR (December 15),Minnesota,Sibley County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,39281
2014 BSIR (December 15),Minnesota,Swift County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,17782
2014 BSIR (December 15),Minnesota,Waseca County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,20076
2014 BSIR (December 15),Minnesota,Wright County ,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,54825.83
2014 BSIR (December 15),Louisiana,Jefferson Davis HS & EP,Establish/enhance regional response teams,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,140
2014 BSIR (December 15),Louisiana,Jefferson Parish HS & EP,Enhance capabilities to respond to all-hazards events,2014-08-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,3748
2014 BSIR (December 15),Louisiana,Lincoln Parish HS&EP,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,33072
2014 BSIR (December 15),Louisiana,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,Adopt and implement NIMS to include integration of core concepts into plans and procedures,2014-11-01T00:00:00+00:00,2016-08-01T00:00:00+00:00,23535.74
2014 BSIR (December 15),Louisiana,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2014-05-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,195650.19
2014 BSIR (December 15),Louisiana,Louisiana Governor's Office of Homeland Security and Emergency Preparedness,Establish/enhance public-private emergency preparedness program,2013-10-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,144147.31
2014 BSIR (December 15),Louisiana,Natchitoches Parish HS&EP,Administer and manage the Homeland Security Grant Program,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,29717
2014 BSIR (December 15),Louisiana,Pointe Coupee Parish Sheriff's Department,Develop / enhance homeland security / emergency management organization and structure,2014-11-01T00:00:00+00:00,2016-02-01T00:00:00+00:00,27718.99
2014 BSIR (December 15),Louisiana,Richland Parish HS & EP,Enhance capabilities to respond to all-hazards events,2014-12-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,5650.01
2014 BSIR (December 15),Louisiana,St. Helena Parish HS&EP,Enhance capabilities to respond to all-hazards events,2014-09-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,26326.49
2014 BSIR (December 15),Louisiana,St. Mary Parish HS&EP,Assess vulnerability of and/or harden/protect critical infrastructure and key assets,2013-09-01T00:00:00+00:00,2015-02-01T00:00:00+00:00,25575.3
2014 BSIR (December 15),Louisiana,Union Parish HS&EP,Administer and manage the Homeland Security Grant Program,2015-01-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,27709
2014 BSIR (December 15),Louisiana,Vernon Parish HS&EP,Establish / enhance sustainable Homeland Security Planning Program,2014-11-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,1064
2014 BSIR (December 15),Louisiana,West Baton Rouge Parish HS & EP,Develop/enhance interoperable communications systems,2013-10-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,20836
2014 BSIR (December 15),Maine,Maine Emergency Management Agency,Administer and manage the Homeland Security Grant Program,2013-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,3496385
2014 BSIR (December 15),Maryland,Annapolis Office of Emergency Management and Communications,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-09-01T00:00:00+00:00,2015-08-01T00:00:00+00:00,28750
2014 BSIR (December 15),Maryland,Anne Arundel County Emergency Management Bureau,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-09-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,125.2
2014 BSIR (December 15),Maryland,Carroll County Office of Public Safety,Develop / enhance homeland security / emergency management organization and structure,2014-10-01T00:00:00+00:00,2015-12-01T00:00:00+00:00,109270
2014 BSIR (December 15),Maryland,Dorchester County Emergency Management Agency,Enhance capabilities to respond to all-hazards events,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,1510.04
2014 BSIR (December 15),Maryland,Howard County Office of Emergency  Management,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,18450.94
2014 BSIR (December 15),Maryland,Montgomery County Division of Emergency Management,Develop / enhance homeland security / emergency management organization and structure,2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,333770
2014 BSIR (December 15),Maryland,Queen Anne''s County Department of Emergency Services,"Develop/enhance plans, procedures, and protocols",2013-10-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,5963.99
